preprocessing_strategy,k,random_state,silhouette_score,davies_bouldin,calinski_harabasz,cluster_sizes,smallest_cluster_size,largest_cluster_size,smallest_cluster_percentage,largest_cluster_percentage
standard,4,7,0.37923383130423816,0.9141350138100771,3071.823656520974,"{""0"": 2308, ""1"": 14, ""2"": 1691, ""3"": 1865}",14,2308,0.23817625042531473,39.26505614154474
standard,4,21,0.3792718260290655,0.9137434463766194,3071.808835997704,"{""0"": 2307, ""1"": 1694, ""2"": 14, ""3"": 1863}",14,2307,0.23817625042531473,39.24804355222865
standard,4,84,0.3792718260290655,0.9137434463766194,3071.808835997703,"{""0"": 1694, ""1"": 2307, ""2"": 1863, ""3"": 14}",14,2307,0.23817625042531473,39.24804355222865
standard,4,123,0.37923383130423816,0.914135013810077,3071.8236565209745,"{""0"": 1865, ""1"": 2308, ""2"": 14, ""3"": 1691}",14,2308,0.23817625042531473,39.26505614154474
standard,5,42,0.4184058615141755,0.8894510151426278,3191.5630686072227,"{""0"": 435, ""1"": 1600, ""2"": 11, ""3"": 1798, ""4"": 2034}",11,2034,0.187138482477033,34.60360666893501
standard,5,7,0.4185932155995319,0.8882252186672657,3191.6625233602513,"{""0"": 452, ""1"": 1584, ""2"": 11, ""3"": 1795, ""4"": 2036}",11,2036,0.187138482477033,34.6376318475672
standard,5,21,0.4185932155995319,0.8882252186672656,3191.6625233602513,"{""0"": 1584, ""1"": 452, ""2"": 2036, ""3"": 1795, ""4"": 11}",11,2036,0.187138482477033,34.6376318475672
standard,5,84,0.4185444427081642,0.8882164695133078,3191.6535768407402,"{""0"": 1584, ""1"": 453, ""2"": 11, ""3"": 1795, ""4"": 2035}",11,2035,0.187138482477033,34.620619258251104
standard,5,123,0.4185932155995319,0.8882252186672657,3191.6625233602513,"{""0"": 2036, ""1"": 1795, ""2"": 1584, ""3"": 11, ""4"": 452}",11,2036,0.187138482477033,34.6376318475672
standard,6,42,0.4203637373486803,0.8914307673624862,3290.624109275312,"{""0"": 1570, ""1"": 492, ""2"": 1999, ""3"": 20, ""4"": 4, ""5"": 1793}",4,1999,0.06805035726437564,34.00816604287172
standard,6,7,0.41867334803031264,0.894201929100375,3290.1643436986783,"{""0"": 1957, ""1"": 1563, ""2"": 20, ""3"": 544, ""4"": 4, ""5"": 1790}",4,1957,0.06805035726437564,33.29363729159578
standard,6,21,0.4204137862516306,0.8913857127991548,3290.601304525429,"{""0"": 1793, ""1"": 1570, ""2"": 20, ""3"": 490, ""4"": 4, ""5"": 2001}",4,2001,0.06805035726437564,34.04219122150391
standard,6,84,0.4203637373486803,0.8914307673624862,3290.624109275313,"{""0"": 1793, ""1"": 492, ""2"": 1999, ""3"": 4, ""4"": 1570, ""5"": 20}",4,1999,0.06805035726437564,34.00816604287172
standard,6,123,0.41901378725507127,0.8936109117323238,3277.4830866673888,"{""0"": 1947, ""1"": 1790, ""2"": 4, ""3"": 24, ""4"": 551, ""5"": 1562}",4,1947,0.06805035726437564,33.12351139843484
standard,7,42,0.41885600632933906,0.8494987491775747,3325.2260165581733,"{""0"": 1862, ""1"": 1790, ""2"": 8, ""3"": 611, ""4"": 1552, ""5"": 2, ""6"": 53}",2,1862,0.03402517863218782,31.677441306566863
standard,7,7,0.42015690218891877,0.8324271340187221,3330.1678034472457,"{""0"": 1563, ""1"": 30, ""2"": 1928, ""3"": 1790, ""4"": 8, ""5"": 2, ""6"": 557}",2,1928,0.03402517863218782,32.80027220142906
standard,7,21,0.41893411348603543,0.849348690915508,3325.226097558,"{""0"": 1864, ""1"": 1790, ""2"": 53, ""3"": 1550, ""4"": 2, ""5"": 8, ""6"": 611}",2,1864,0.03402517863218782,31.711466485199047
standard,7,84,0.4197448949254114,0.8342391740932485,3331.686808843931,"{""0"": 1895, ""1"": 1790, ""2"": 593, ""3"": 31, ""4"": 8, ""5"": 1559, ""6"": 2}",2,1895,0.03402517863218782,32.23885675399796
standard,7,123,0.41976007837151885,0.8327335852187413,3331.2800546618737,"{""0"": 1898, ""1"": 1790, ""2"": 1559, ""3"": 30, ""4"": 591, ""5"": 8, ""6"": 2}",2,1898,0.03402517863218782,32.28989452194624
standard,8,42,0.40159963666424603,0.9065622740573576,3278.834707938918,"{""0"": 1771, ""1"": 183, ""2"": 1589, ""3"": 23, ""4"": 813, ""5"": 3, ""6"": 1493, ""7"": 3}",3,1771,0.05103776794828172,30.129295678802315
standard,8,7,0.40243561622034235,0.907217571561042,3276.6122211521574,"{""0"": 1771, ""1"": 1493, ""2"": 811, ""3"": 2, ""4"": 1588, ""5"": 8, ""6"": 30, ""7"": 175}",2,1771,0.03402517863218782,30.129295678802315
standard,8,21,0.4022560564180016,0.906999981432222,3277.072547538261,"{""0"": 1587, ""1"": 1771, ""2"": 29, ""3"": 1495, ""4"": 175, ""5"": 811, ""6"": 8, ""7"": 2}",2,1771,0.03402517863218782,30.129295678802315
standard,8,84,0.4018724171382716,0.9061547030449466,3278.840254927368,"{""0"": 1495, ""1"": 181, ""2"": 1590, ""3"": 3, ""4"": 23, ""5"": 1771, ""6"": 3, ""7"": 812}",3,1771,0.05103776794828172,30.129295678802315
standard,8,123,0.4015039999405256,0.9060993056664011,3278.8588796431595,"{""0"": 1495, ""1"": 812, ""2"": 183, ""3"": 3, ""4"": 1588, ""5"": 3, ""6"": 23, ""7"": 1771}",3,1771,0.05103776794828172,30.129295678802315
log_standard,2,42,0.41294490422523467,0.9124208116076564,5989.940204631603,"{""0"": 3181, ""1"": 2697}",2697,3181,45.882953385505274,54.117046614494726
log_standard,2,7,0.41296605056385477,0.9125943348166968,5989.932653019035,"{""0"": 3176, ""1"": 2702}",2702,3176,45.968016332085746,54.031983667914254
log_standard,2,21,0.41296605056385477,0.9125943348166968,5989.932653019035,"{""0"": 3176, ""1"": 2702}",2702,3176,45.968016332085746,54.031983667914254
log_standard,2,84,0.41296605056385477,0.9125943348166968,5989.932653019035,"{""0"": 3176, ""1"": 2702}",2702,3176,45.968016332085746,54.031983667914254
